q_id,question,choice0,choice1,choice2,choice3,choice4,label
8939,在电子设备中使用的最主要的电子电路基板叫什么？,公告板,电脑,主板,硬盘,砧板,2
8940,稻田一望无际的景色叫什么？,田地,海,田园,地方,牧场,2
8941,蹲下之类的样子叫什么？,弯下腰,坐下,打个盹,睡觉,起床,0
8942,放水时要拧的东西是什么？,水龙头,把手,水槽,钉子,碗柜,0
8943,随着音乐跳舞的场所是？,迪斯科,市长,草莓,购物中心,芒果,0
8944,指地底下一定规模的空间是什么？,山脚,山顶,半山腰,山腰,洞窟,4
8945,哪一个是与交通工具有关的词？,出门,走路,脱鞋,穿鞋,下车,4
8946,便于携带、易于使用的电脑叫什么？,计算机,绳子,笔记本电脑,手机,点心,2
8947,吸烟这件事叫什么？,打电话,吃饭,吸烟,佛,喝酒,2
8948,超速被警察抓住的话，一般称为什么？,妨碍驾驶,伤心,结痂,危险驾驶,交通违法,4
8949,会伸缩的东西是？,机芯,螺母,动作,螺栓,弹簧,4
8950,既作为生活用品使用，又被当作美术品对待的东西是？,盘子,料理,厨师,老鼠,门,0
8951,购物时一定需要的是什么？,带上钱,订书,读书,风,雨,0
8952,手上拎着的包叫什么？,手提包,橱柜,小袋,双肩包,门口,0
8953,夏天大量出现的生物是？,工具箱,电缆,狸猫,兔子,虫子,4
8954,与亲近的人之间的人际关系叫什么？,感情,部下,友情,自卫队,情报,2
8955,转弯时的信号是？,转向灯,刹车,座位,消声器,道口,0
8956,在这几个中，用钢筋混凝土建造的中高层建筑物的名称是？,大楼,板,战壕,教堂,出云大社,0
8957,把“汁物”用英语表达是什么？,料理,汤,早餐,梗图,拆解,1
8958,具有桌、台、表等含义的是？,球,物体,桌子,钱,照片,2
8959,用来装饮料的东西中，哪一种是玻璃制的？,把手,筷子,杯子,盘子,浴缸,2
8960,哪种动物可以在家里饲养？,狮子,淋浴,象,镜子,猫,4
8961,关于“花钱”？,付出（支付）,点亮灯光,鉴赏,购买,赎回,0
8962,在马戏团的人气项目中，秋千前面会加上哪个词？,地中,家,地下,屋顶,空中,4
8963,为了标示汉字读音而写在旁边的假名叫什么？,假名草子,变体假名,假名垣鲁文,振假名,异体假名,3
8964,成为自己“干”的是？,身体,猫,水壶,手脚,锅,0
8965,下面这些中，鸟取有而冈山和兵库没有的是什么？,关西地区,沙丘,后乐园,港口塔,县,1
8966,把总部设在北海道札幌市北区北8条西5丁目的日本国立大学叫什么？,缆车,近畿大学,东京大学,北海道大学,白杨树并木,3
8967,在滑雪场等地方有的一种运输设备，在高处和低处之间拉有缆索，缆索上装有支架，并在其上安装裸露的座椅，这叫什么？,北海道大学,白杨树并木,长椅,折叠铁椅,缆车,4
8968,下面哪个词语中使用了相同的部首？,学习,把握,理解,问题,启蒙,1
8969,总统所在的地方是？,大使馆,国会议事堂,皇居,国家,白宫,4
